label_frame,meas_frame,label_len,meas_len
247,219,22,22.83
78,80,23,23.39
126,103,29,30.81
121,88,31,32.67
98,54,15,15.59
81,48,18,20.42
262,242,19,20.6
102,55,19,24.13
107,66,26,28.96
54,53,27,31.18
127,117,37,35.82
91,60,40,43.06
100,59,41,27.66
110,47,41,8.91
85,62,31,32.67
106,83,32,34.15
105,83,29,30.44
79,59,32,34.52
69,65,20,21.35
70,59,20,22.09
155,151,23,27.1
76,85,27,31.37
86,65,26,27.1
90,90,28,29.51
152,131,28,31.55
42,18,28,27.84
113,101,25,25.8
107,30,22,21.72
114,91,35,38.79
100,68,39,41.21
126,95,25,27.47
87,110,24,24.5
66,72,30,31.55
82,77,30,30.26
104,78,36,35.82
142,114,37,37.49
94,90,27,40.65
120,133,27,40.09
102,149,27,38.79
95,113,24,34.71
100,85,30,32.11
106,91,29,31.37
103,91,35,39.91
75,71,31,31.18
104,119,33,34.15
91,80,32,33.04
75,55,39,41.02
123,139,39,40.28
108,79,24,25.8
89,125,28,32.67
91,57,25,30.63
118,94,24,25.61
88,83,33,36.38
135,106,34,39.35
85,90,33,34.9
68,53,34,34.9
74,58,29,31.74
139,124,31,33.04
104,92,41,43.25
110,108,39,41.02
83,69,30,29.88
80,55,31,33.78
139,98,12,13.36
105,89,10,11.32
190,174,26,30.73
102,90,27,32.6
90,95,24,27.17
83,81,25,28.85
82,78,23,25.29
64,63,23,26.04
193,162,40,44.03
125,173,41,45.53
219,229,38,46.84
109,90,38,44.03
83,71,21,32.22
62,59,24,36.72
104,111,20,32.22
107,112,20,31.48
114,85,24,35.6
82,45,24,37.85
152,161,30,33.91
109,94,34,37.47
340,329,22,24.92
96,129,25,26.98
91,84,27,33.16
88,68,28,34.29
100,88,34,36.35
104,99,34,36.16
81,88,24,28.48
84,71,26,29.98
89,68,21,23.42
69,56,21,24.36
75,95,28,28.85
83,83,28,30.16
145,89,10,18.55
100,78,13,16.86
133,125,25,28.48
95,107,27,31.85
107,92,21,35.22
101,87,20,35.6
80,58,15,22.11
84,55,19,22.86
95,67,28,30.16
94,63,29,31.48
91,71,35,38.03
106,123,29,32.97
99,77,26,32.22
82,59,29,32.79
94,110,20,23.42
114,124,19,23.42
108,172,41,48.15
103,97,37,44.22
118,101,39,43.28
121,133,39,38.97
75,86,30,27.73
88,84,26,34.85
71,68,36,41.97
86,85,37,42.15
63,60,35,37.47
64,54,34,36.53
80,77,26,30.16
104,97,26,30.91
85,70,21,23.61
87,70,21,24.36
83,55,42,45.71
78,65,42,44.96
100,79,35,33.16
99,73,35,33.16
82,71,25,24.36
80,68,21,24.17
89,84,32,35.6
85,76,35,39.16
82,74,26,33.54
81,78,27,31.48
71,62,28,30.35
78,75,28,31.29
60,60,21,23.61
77,74,24,27.92
91,39,23,33.35
94,72,24,30.35
77,79,19,19.11
88,72,17,18.55
78,93,40,44.22
