label_frame,meas_frame,label_len,meas_len,x_y
247,231,22.0,20.05,"[853, 472]"
78,78,23.0,22.46,"[866, 474]"
126,126,29.0,29.88,"[906, 475]"
121,118,31.0,32.48,"[920, 443]"
98,98,15.0,14.85,"[825, 446]"
81,81,18.0,18.0,"[842, 477]"
262,223,19.0,10.21,"[800, 447]"
102,84,19.0,20.23,"[854, 458]"
107,94,26.0,26.73,"[889, 484]"
54,54,27.0,31.18,"[913, 489]"
127,108,37.0,31.0,"[912, 443]"
91,78,40.0,41.76,"[970, 472]"
100,72,41.0,13.74,"[819, 509]"
110,48,41.0,8.91,"[793, 440]"
85,83,31.0,32.3,"[919, 483]"
106,103,32.0,32.85,"[922, 479]"
105,88,29.0,28.03,"[896, 461]"
79,62,32.0,30.44,"[909, 459]"
69,67,20.0,21.16,"[859, 479]"
70,61,20.0,21.9,"[863, 488]"
155,152,23.0,27.1,"[891, 479]"
76,73,27.0,29.88,"[906, 471]"
86,67,26.0,27.1,"[891, 470]"
90,91,28.0,29.51,"[904, 468]"
152,148,28.0,30.63,"[910, 474]"
42,37,28.0,27.47,"[893, 472]"
113,113,25.0,25.24,"[881, 473]"
107,129,22.0,20.05,"[853, 470]"
114,114,35.0,37.87,"[949, 486]"
100,100,39.0,40.84,"[965, 481]"
126,102,25.0,26.91,"[890, 484]"
87,87,24.0,23.94,"[874, 479]"
66,66,30.0,30.44,"[909, 411]"
82,80,30.0,29.88,"[906, 469]"
104,95,36.0,11.51,"[807, 641]"
142,135,37.0,11.32,"[806, 642]"
94,82,27.0,33.23,"[924, 440]"
120,119,27.0,32.67,"[921, 446]"
102,102,27.0,36.75,"[943, 490]"
95,95,24.0,33.6,"[926, 482]"
100,100,30.0,30.63,"[910, 484]"
106,106,29.0,31.37,"[914, 485]"
103,76,35.0,36.38,"[941, 493]"
75,72,31.0,31.18,"[913, 476]"
104,104,33.0,33.23,"[924, 472]"
91,91,32.0,31.93,"[917, 475]"
75,67,39.0,40.28,"[962, 455]"
123,132,39.0,40.09,"[961, 462]"
108,108,24.0,24.32,"[876, 476]"
89,89,28.0,28.58,"[899, 477]"
91,91,25.0,27.84,"[895, 469]"
118,119,24.0,24.69,"[878, 471]"
88,87,33.0,35.64,"[937, 480]"
135,129,34.0,37.12,"[945, 490]"
85,79,33.0,32.85,"[922, 476]"
68,68,34.0,34.15,"[929, 477]"
74,74,29.0,31.0,"[912, 465]"
139,139,31.0,31.18,"[913, 465]"
104,97,41.0,43.25,"[978, 458]"
110,110,39.0,41.02,"[966, 457]"
83,79,30.0,29.51,"[904, 459]"
80,70,31.0,32.85,"[922, 472]"
139,129,12.0,13.18,"[816, 473]"
105,105,10.0,10.77,"[803, 472]"
