label_frame,meas_frame,label_len,meas_len,x_y
247,0,22.0,0.0,"[0, 0]"
78,0,23.0,0.0,"[0, 0]"
126,1,29.0,30.44,"[909, 475]"
121,-1,31.0,-1.0,"[-1, -1]"
98,1,15.0,14.66,"[824, 437]"
-2,-2,-2.0,-2.0,"[-2, -2]"
262,0,19.0,0.0,"[0, 0]"
102,1,19.0,19.49,"[850, 457]"
107,1,26.0,21.53,"[861, 458]"
54,-1,27.0,-1.0,"[-1, -1]"
127,1,37.0,29.88,"[906, 439]"
91,1,40.0,39.91,"[960, 460]"
100,-1,41.0,-1.0,"[-1, -1]"
110,-1,41.0,-1.0,"[-1, -1]"
85,1,31.0,31.0,"[912, 481]"
106,1,32.0,32.85,"[922, 480]"
105,1,29.0,29.14,"[902, 458]"
79,-1,32.0,-1.0,"[-1, -1]"
69,1,20.0,21.35,"[860, 481]"
-2,-2,-2.0,-2.0,"[-2, -2]"
155,1,23.0,0.19,"[746, 501]"
76,1,27.0,31.0,"[912, 474]"
86,-1,26.0,-1.0,"[-1, -1]"
90,-1,28.0,-1.0,"[-1, -1]"
152,-1,28.0,-1.0,"[-1, -1]"
-2,-2,-2.0,-2.0,"[-2, -2]"
113,1,25.0,25.61,"[883, 473]"
107,-1,22.0,-1.0,"[-1, -1]"
114,1,35.0,38.05,"[950, 489]"
100,1,39.0,40.65,"[964, 481]"
126,1,25.0,26.73,"[889, 481]"
87,1,24.0,21.35,"[860, 470]"
66,1,30.0,29.14,"[902, 429]"
82,1,30.0,20.79,"[857, 476]"
104,-1,36.0,-1.0,"[-1, -1]"
142,-1,37.0,-1.0,"[-1, -1]"
94,0,27.0,0.0,"[0, 0]"
